Name,Release Year,Rating
The Godfather,(1972),R
The Shawshank Redemption,(1994),R
Schindler's List,(1993),R
Raging Bull,(1980),R
Casablanca,(1942),PG
Citizen Kane,(1941),PG
Gone with the Wind,(1939),Passed
The Wizard of Oz,(1939),PG
One Flew Over the Cuckoo's Nest,(1975),18+
Lawrence of Arabia,(1962),Approved
Vertigo,(1958),PG
Psycho,(1960),R
The Godfather Part II,(1974),R
On the Waterfront,(1954),Approved
Sunset Blvd.,(1950),Passed
Forrest Gump,(1994),PG-13
The Sound of Music,(1965),G
12 Angry Men,(1957),Approved
West Side Story,(1961),Approved
Star Wars,(1977),PG
2001: A Space Odyssey,(1968),G
E.T.,(1982),PG
The Silence of the Lambs,(1991),R
Chinatown,(1974),R
The Bridge on the River Kwai,(1957),PG
Singin' in the Rain,(1952),G
It's a Wonderful Life,(1946),PG
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),PG
Some Like It Hot,(1959),Passed
Ben-Hur,(1959),G
Apocalypse Now,(1979),R
Amadeus,(1984),R
The Lord of the Rings: The Return of the King,(2003),PG-13
Gladiator,(2000),R
Titanic,(1997),PG-13
From Here to Eternity,(1953),Passed
Saving Private Ryan,(1998),R
Unforgiven,(1992),R
Raiders of the Lost Ark,(1981),PG
Rocky,(1976),PG
A Streetcar Named Desire,(1951),PG
The Philadelphia Story,(1940),Not Rated
To Kill a Mockingbird,(1962),Approved
An American in Paris,(1951),Passed
The Best Years of Our Lives,(1946),Approved
My Fair Lady,(1964),G
A Clockwork Orange,(1971),R
Doctor Zhivago,(1965),PG-13
The Searchers,(1956),Passed
Jaws,(1975),PG
Patton,(1970),GP
Butch Cassidy and the Sundance Kid,(1969),PG
The Treasure of the Sierra Madre,(1948),Passed
"The Good, the Bad and the Ugly",(1966),Approved
The Apartment,(1960),Approved
Platoon,(1986),R
High Noon,(1952),PG
Braveheart,(1995),R
Dances with Wolves,(1990),PG-13
Jurassic Park,(1993),PG-13
The Exorcist,(1973),R
The Pianist,(2002),R
Goodfellas,(1990),R
The Deer Hunter,(1978),R
All Quiet on the Western Front,(1930),Passed
Bonnie and Clyde,(1967),R
The French Connection,(1971),18+
City Lights,(1931),G
It Happened One Night,(1934),Passed
A Place in the Sun,(1951),Passed
Midnight Cowboy,(1969),R
Mr. Smith Goes to Washington,(1939),Passed
Rain Man,(1988),R
Annie Hall,(1977),PG
Fargo,(1996),R
Giant,(1956),G
Shane,(1953),Not Rated
The Grapes of Wrath,(1940),Passed
The Green Mile,(1999),R
Close Encounters of the Third Kind,(1977),PG
Nashville,(1975),R
Network,(1976),R
The Graduate,(1967),PG
American Graffiti,(1973),PG
Pulp Fiction,(1994),R
Terms of Endearment,(1983),PG
Good Will Hunting,(1997),R
The African Queen,(1951),PG
Stagecoach,(1939),Passed
Mutiny on the Bounty,(1935),Passed
The Great Dictator,(1940),G
Double Indemnity,(1944),Passed
The Maltese Falcon,(1941),Passed
Wuthering Heights,(1939),Not Rated
Taxi Driver,(1976),R
Rear Window,(1954),PG
The Third Man,(1949),Approved
Rebel Without a Cause,(1955),PG-13
North by Northwest,(1959),Approved
Yankee Doodle Dandy,(1942),Passed
